DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0248-GBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Lothian (Edinburgh), Grampian (Aberdeenshire) - Scotland region",,,No,No,No,,,Km2,,,,2000,4,27,2000,4,27,,,200,,200,,,,,,,54.89515197,"[{""adm2_code"":40171,""adm2_name"":""Grampian""},{""adm2_code"":40173,""adm2_name"":""Lothian""}]",2003-07-01,2023-09-25
2000-0331-GBR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,West Yorkshire (North England),,,No,No,No,,,Km2,,,,2000,6,,2000,6,,,,240,,240,,,,,18150,33063,54.89515197,"[{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",2003-07-01,2023-09-25
2000-0662-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,HANZE:1535,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"outh Teesside, Durham CC, Northumberland, Lancashire CC, Warrington, Cheshire West and Chester, York, North Yorkshire CC, Barnsley, Doncaster and Rotherham, Bradford, Calderdale and Kirklees, East Derbyshire, South Nottinghamshire, Leicestershire CC and Rutland, West Northamptonshire, Herefordshire, County of, Worcestershire, Shropshire CC, Staffordshire CC, Birmingham, Hertfordshire, Central Bedfordshire, Essex CC, Outer London - East and North East, Oxfordshire, East Sussex CC, Surrey, West Sussex, Portsmouth, Hampshire CC, Isle of Wight, Kent CC, Bath and North East Somerset, North Somerset and South Gloucestershire, Gloucestershire, Dorset CC, Somerset, Devon CC, Isle of Anglesey, Gwynedd, Conwy and Denbighshire, South West Wales, Central Valleys, Gwent Valleys, Monmouthshire and Newport, Cardiff and Vale of Glamorgan, Flintshire and Wrexham, Powys",Heavy rains,,No,No,No,,5300,Km2,,,Ouse; Thames; Trent; Severn; Wharfe; Dee; Uck; Medway,2000,10,9,2000,11,12,3,,40000,,40000,,,75000,136624,5900000,10747761,54.89515197,"[{""adm2_code"":40104,""adm2_name"":""Devonshire""},{""adm2_code"":40107,""adm2_name"":""East Sussex""},{""adm2_code"":40112,""adm2_name"":""Hampshire""},{""adm2_code"":40117,""adm2_name"":""Kent""},{""adm2_code"":40137,""adm2_name"":""West Sussex""}]",2004-10-21,2025-05-28
2001-0131-GBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cleveland, East Sussex, Kent districts (England province)",,,No,No,No,,,Km2,,,,2001,2,9,2001,2,9,,,150,,150,,,,,,,56.44657635,"[{""adm2_code"":40100,""adm2_name"":""Cleveland""},{""adm2_code"":40107,""adm2_name"":""East Sussex""},{""adm2_code"":40117,""adm2_name"":""Kent""}]",2003-07-01,2023-09-25
2001-0645-GBR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cambridgeshire, Essex and Kent districts (England province)",Brief torrential rain,,No,No,No,,5680,Km2,,,"Cam, Colne, Roman, Stour.",2001,10,21,2001,10,23,,,90,,90,,,,,,,56.44657635,"[{""adm2_code"":40098,""adm2_name"":""Cambridgeshire""},{""adm2_code"":40108,""adm2_name"":""Essex""},{""adm2_code"":40117,""adm2_name"":""Kent""}]",2005-09-21,2023-09-25
2002-0463-GBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Scotland province Cumbria, Derbyshire, Hereford and Wor, Leicestershire, Lincolnshire, Northamptonshire, Nottinghamshire, Salop, Staffordshire, Warwickshire, West Midlands, West Yorkshire districts (England province)",,,No,No,No,,,Km2,,,,2002,7,20,2002,7,20,1,,200,,200,,,,,,,57.34184015,"[{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40103,""adm2_name"":""Derbyshire""},{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40119,""adm2_name"":""Leicestershire""},{""adm2_code"":40120,""adm2_name"":""Lincolnshire""},{""adm2_code"":40124,""adm2_name"":""Northamptonshire""},{""adm2_code"":40126,""adm2_name"":""Nottinghamshire""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40131,""adm2_name"":""Staffordshire""},{""adm2_code"":40135,""adm2_name"":""Warwickshire""},{""adm2_code"":40136,""adm2_name"":""West Midlands""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",2003-07-01,2023-09-25
2002-0488-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Scarborough, Filey towns (North Yorkshire district, England province)",Heavy rain,,No,No,No,,60,Km2,,,,2002,8,10,2002,8,12,,,250,,250,,,,,,,57.34184015,"[{""adm2_code"":40123,""adm2_name"":""North Yorkshire""}]",2005-09-23,2023-09-25
2002-0774-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Elgin, Forres, Rothes, Craigellachie, Dufftown, Aberdeen towns,, Grampian district, Scotland province), Tayside district (Scotland province), Devonshire and Cornwall districts (England province)",Heavy rain,,No,No,No,,,Km2,,,"Lossie, Mosset Burn, Divvie, Spey, South Esk, Dee, Isla, Rivers: Exe, Stennac, Middle and Lower River Stour",2002,11,14,2002,11,25,,,300,,300,,,,,,,57.34184015,"[{""adm2_code"":40101,""adm2_name"":""Cornwall""},{""adm2_code"":40104,""adm2_name"":""Devonshire""},{""adm2_code"":40171,""adm2_name"":""Grampian""},{""adm2_code"":40177,""adm2_name"":""Tayside""}]",2005-09-26,2023-09-25
2004-0423-GBR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Kastel Boterel, Tintagel, Camelford villages (Cornwall district, England province)",Torrential rains,,No,No,No,,,Km2,,,"Valency, Jordan, Paradise, Camel",2004,8,16,2004,8,17,,8,1000,,1008,,,,,96000,159432,60.21357973,"[{""adm2_code"":40101,""adm2_name"":""Cornwall""}]",2004-08-24,2023-09-25
2007-0201-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Leeds, Wakefield towns (West Yorkshire district, England province), North Yorkshire district (England province), Derbyshire, Hereford and Wor Leicestershire, Lincolnshire, Nottinghamshire, Salop, Staffordshire, Warwickshire, West Midlands districts (England province), Wales province, Northern Ireland province","Heavy rain, thunderstorms",Broken Dam/Burst bank,No,No,No,,23110,Km2,52.52,-0.76,"Ouse, Tame, Dearne",2007,6,15,2007,6,21,1,,200,,200,,,299000,452358,448000,677780,66.09810297,"[{""adm1_code"":3183,""adm1_name"":""Northern Ireland""},{""adm1_code"":3186,""adm1_name"":""Wales""},{""adm2_code"":40103,""adm2_name"":""Derbyshire""},{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40119,""adm2_name"":""Leicestershire""},{""adm2_code"":40120,""adm2_name"":""Lincolnshire""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40124,""adm2_name"":""Northamptonshire""},{""adm2_code"":40126,""adm2_name"":""Nottinghamshire""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40131,""adm2_name"":""Staffordshire""},{""adm2_code"":40135,""adm2_name"":""Warwickshire""},{""adm2_code"":40136,""adm2_name"":""West Midlands""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",2008-03-11,2023-09-25
