Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]"
United Kingdom,GBR,2006,YR2006,2708441582336.71,60846820,0.543486666666667
United Kingdom,GBR,2007,YR2007,3090510204081.63,61322463,0.499771666666667
United Kingdom,GBR,2008,YR2008,2929411764705.88,61806995,0.54396625
United Kingdom,GBR,2009,YR2009,2412840006231.5,62276270,0.641919263495996
United Kingdom,GBR,2010,YR2010,2485482596184.71,62766365,0.647179345560165
United Kingdom,GBR,2011,YR2011,2663805834828.07,63258810,0.624140835740495
United Kingdom,GBR,2012,YR2012,2707089726614.64,63711000,0.633046988857327
United Kingdom,GBR,2013,YR2013,2784853502534.29,64139000,0.639660577613477
United Kingdom,GBR,2014,YR2014,3064708247921.43,64620000,0.607729626878255
United Kingdom,GBR,2015,YR2015,2927911140916.73,65088000,0.654545478931426
United Kingdom,GBR,2016,YR2016,2689106566899.61,65607000,0.740634463697084
United Kingdom,GBR,2017,YR2017,2680148052335.3,65966000,0.776976682344123
United Kingdom,GBR,2018,YR2018,2871340347581.79,66289000,0.749531540259847
United Kingdom,GBR,2019,YR2019,2851407164907.81,66631000,0.783445110011929
United Kingdom,GBR,2020,YR2020,2696778386607.65,66744000,0.779999576697153
United Kingdom,GBR,2021,YR2021,3143323050707.26,66984000,0.727064944688323
United Kingdom,GBR,2022,YR2022,3114042471144.39,67604000,0.811301715827773
United Kingdom,GBR,2023,YR2023,3369861888972.88,68492000,0.804538906734353
United Kingdom,GBR,2024,YR2024,3643834188782.91,69226000,0.782414580986262
