"Table 5: Local Authority: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North East ,E06000001,Hartlepool,898,949,968,979,"1,032","1,088","1,133","1,177","1,232","1,294","1,324","1,287","1,321","1,374","1,415","1,458","1,433","1,508","1,631","1,656","1,629","1,672","1,687","1,658","1,769","1,922"
North East ,E06000004,Stockton-on-Tees,"2,841","2,972","3,065","3,115","3,282","3,518","3,789","3,914","4,198","4,427","4,486","4,606","4,630","4,669","4,748","4,931","5,104","5,409","5,505","5,455","5,564","5,861","5,700","6,089","6,611","6,743"
North East ,E06000002,Middlesbrough,"1,703","1,778","1,829","1,853","1,924","2,040","2,200","2,347","2,486","2,565","2,631","2,651","2,625","2,714","2,764","2,756","2,833","2,951","3,080","3,253","3,456","3,472","3,189","3,588","4,003","4,284"
North East ,E06000003,Redcar and Cleveland,"1,460","1,488","1,529","1,513","1,558","1,709","1,744","1,787","1,812","1,842","1,955","1,899","1,991","2,031","2,056","2,078","2,164","2,232","2,177","2,061","2,160","2,234","2,180","2,277","2,457","2,562"
North East ,E06000005,Darlington,"1,676","1,723","1,856","1,964","2,090","2,222","2,370","2,364","2,409","2,385","2,508","2,363","2,453","2,535","2,563","2,595","2,862","3,024","2,888","2,891","2,869","2,851","2,603","2,850","3,072","3,363"
North East ,E06000047,County Durham,"5,380","5,667","5,838","6,018","6,324","6,739","7,252","7,561","8,045","8,389","8,671","8,680","8,819","8,817","9,042","9,149","9,185","9,322","9,412","9,775","10,269","10,739","10,613","11,383","12,211","13,741"
North East ,E06000057,Northumberland,"3,467","3,499","3,566","3,708","3,981","4,129","4,417","4,587","4,814","4,942","5,070","4,922","5,102","5,289","5,345","5,382","5,560","5,655","5,839","5,983","6,097","6,446","5,932","6,441","7,106","7,633"
North East ,E08000021,Newcastle upon Tyne,"4,730","4,723","4,877","5,257","5,658","5,973","6,584","7,008","7,394","7,494","7,503","7,428","7,747","8,125","8,428","8,557","8,787","9,336","9,645","10,065","10,115","10,473","9,536","10,767","11,967","13,253"
North East ,E08000022,North Tyneside,"2,326","2,377","2,434","2,650","2,925","3,051","3,298","3,447","3,553","3,659","3,792","3,647","3,771","3,930","4,035","4,064","4,248","4,420","4,584","4,992","5,192","5,268","4,923","5,422","5,907","6,662"
North East ,E08000023,South Tyneside,"1,314","1,328","1,367","1,419","1,482","1,549","1,668","1,744","1,811","1,844","1,890","1,776","1,863","1,943","2,116","2,155","2,279","2,279","2,221","2,257","2,281","2,378","2,100","2,367","2,535","2,674"
North East ,E08000037,Gateshead,"2,911","2,948","3,030","3,170","3,376","3,538","3,837","4,065","4,271","4,361","4,341","4,156","4,333","4,582","4,680","4,467","4,530","4,586","4,703","4,738","4,793","5,222","4,536","5,135","5,340","5,711"
North East ,E08000024,Sunderland,"3,929","3,884","4,040","4,270","4,579","4,778","5,232","5,488","5,763","5,821","5,982","6,016","6,011","6,150","6,312","6,861","7,104","7,285","7,386","7,722","7,721","8,121","7,097","7,378","8,115","8,949"
North West ,E06000063,Cumberland,"4,120","4,350","4,197","4,278","4,469","4,741","4,818","5,188","5,543","5,661","6,079","5,918","6,109","6,059","6,197","6,551","6,907","7,040","6,962","6,918","6,919","7,176","6,438","6,617","7,624","8,213"
North West ,E06000064,Westmorland and Furness,"3,290","3,336","3,470","3,452","3,718","4,012","4,209","4,295","4,619","4,806","5,070","4,899","5,046","5,114","5,391","5,434","5,672","5,971","6,063","6,371","6,484","6,999","6,569","7,019","7,826","8,527"
North West ,E08000003,Manchester,"9,607","10,102","10,388","11,142","11,809","12,456","13,476","14,527","15,530","16,445","16,753","17,170","17,774","18,036","18,898","19,424","20,083","21,108","22,450","24,581","25,375","27,244","26,441","29,064","34,392","38,037"
North West ,E08000006,Salford,"3,641","3,827","3,877","4,081","4,243","4,462","4,847","5,235","5,545","5,834","5,936","5,896","6,037","6,130","6,554","7,162","7,634","7,756","7,627","7,878","8,473","8,943","9,202","9,976","11,218","11,725"
North West ,E08000009,Trafford,"4,706","4,940","5,146","5,484","5,781","6,036","6,238","6,522","6,826","7,149","7,285","7,086","7,192","7,291","7,534","7,875","8,021","8,554","8,907","9,488","9,978","10,178","10,090","11,028","12,053","13,105"
North West ,E08000007,Stockport,"4,014","4,233","4,388","4,585","4,780","5,006","5,215","5,434","5,665","5,953","6,155","6,183","6,231","6,213","6,448","6,540","6,568","6,625","6,916","7,423","7,691","7,800","7,875","8,294","9,423","10,318"
North West ,E08000008,Tameside,"2,244","2,374","2,450","2,525","2,623","2,718","2,801","2,971","3,055","3,186","3,218","3,164","3,235","3,306","3,406","3,531","3,647","3,696","3,698","3,956","4,043","4,090","4,014","4,118","4,451","4,741"
North West ,E08000001,Bolton,"3,331","3,473","3,501","3,707","3,827","3,991","4,205","4,441","4,636","4,823","4,833","4,862","4,979","5,064","5,327","5,594","5,725","5,957","6,173","6,480","6,824","6,841","6,935","7,124","7,581","8,480"
North West ,E08000010,Wigan,"3,175","3,340","3,463","3,623","3,754","3,917","4,074","4,273","4,447","4,618","4,556","4,437","4,539","4,648","4,818","5,118","5,275","5,599","5,749","5,990","6,063","6,078","6,110","6,506","7,198","7,757"
North West ,E08000002,Bury,"2,037","2,143","2,215","2,325","2,470","2,575","2,687","2,816","2,947","3,093","3,097","3,038","3,132","3,197","3,322","3,415","3,411","3,591","3,666","3,760","3,856","4,095","4,001","4,103","4,329","4,907"
North West ,E08000004,Oldham,"2,352","2,464","2,529","2,618","2,728","2,798","2,959","3,121","3,252","3,377","3,442","3,358","3,437","3,525","3,600","3,746","3,937","4,119","4,226","4,564","4,621","4,846","4,505","4,714","5,284","5,648"
North West ,E08000005,Rochdale,"2,314","2,453","2,515","2,617","2,698","2,792","2,930","3,048","3,114","3,263","3,277","3,210","3,331","3,388","3,597","3,721","3,769","3,883","3,927","4,050","4,216","4,402","4,253","4,443","5,027","5,434"
North West ,E06000008,Blackburn with Darwen,"1,753","1,821","1,843","1,885","1,980","2,135","2,243","2,300","2,365","2,472","2,547","2,466","2,597","2,694","2,837","2,916","3,065","3,241","3,391","3,452","3,506","3,604","3,521","3,977","4,409","4,723"
North West ,E06000009,Blackpool,"1,500","1,550","1,588","1,659","1,751","1,898","2,042","2,122","2,179","2,228","2,234","2,136","2,262","2,310","2,374","2,420","2,495","2,611","2,752","2,906","3,028","3,260","3,036","3,238","3,631","3,796"
North West ,E07000121,Lancaster,"1,765","1,823","1,779","1,822","1,958","2,180","2,338","2,536","2,701","2,807","2,833","2,549","2,561","2,611","2,710","2,895","2,936","3,105","3,109","3,165","3,187","3,353","3,339","3,505","3,929","4,450"
North West ,E07000128,Wyre,"1,013","1,055","1,088","1,118","1,177","1,285","1,346","1,371","1,394","1,422","1,472","1,402","1,460","1,518","1,557","1,613","1,675","1,910","1,953","1,960","2,039","2,120","1,918","2,141","2,378","2,499"
North West ,E07000119,Fylde,"1,849","1,997","2,120","2,241","2,264","2,463","2,696","2,823","2,838","2,948","3,002","2,740","2,683","2,701","2,714","2,759","2,562","2,717","2,928","3,053","2,853","2,948","2,720","2,983","3,357","3,643"
North West ,E07000123,Preston,"2,450","2,569","2,636","2,741","2,928","3,151","3,340","3,436","3,553","3,723","3,674","3,671","3,839","3,897","4,108","4,048","4,234","4,442","4,734","4,771","4,835","5,006","4,602","5,142","5,666","6,179"
North West ,E07000124,Ribble Valley,"1,107","1,180","1,222","1,277","1,320","1,432","1,541","1,590","1,610","1,648","1,679","1,510","1,518","1,626","1,691","1,846","1,919","1,982","1,906","1,956","1,947","1,813","1,958","2,313","2,352","2,452"
North West ,E07000126,South Ribble,"2,083","2,128","2,210","2,242","2,363","2,555","2,671","2,717","2,712","2,930","3,006","2,817","2,889","2,994","3,100","3,262","3,540","3,716","3,884","3,999","3,946","4,047","4,122","4,587","4,915","5,214"
North West ,E07000117,Burnley,"1,145","1,205","1,233","1,262","1,299","1,391","1,458","1,509","1,563","1,637","1,664","1,595","1,686","1,751","1,835","1,841","1,956","1,963","2,065","2,158","2,319","2,293","2,216","2,449","2,693","2,707"
North West ,E07000120,Hyndburn,939,991,977,"1,004","1,046","1,091","1,149","1,185","1,213","1,283","1,323","1,260","1,326","1,386","1,453","1,485","1,530","1,572","1,701","1,717","1,596","1,685","1,571","1,772","1,902","2,066"
North West ,E07000122,Pendle,"1,199","1,288","1,318","1,356","1,384","1,486","1,569","1,638","1,668","1,700","1,685","1,497","1,539","1,632","1,672","1,652","1,716","1,753","1,860","1,941","2,066","2,067","1,880","2,087","2,146","2,341"
North West ,E07000125,Rossendale,726,751,766,776,817,875,910,926,945,985,998,969,"1,017","1,058","1,045","1,081","1,154","1,216","1,211","1,221","1,218","1,266","1,152","1,315","1,425","1,548"
North West ,E07000118,Chorley,"1,163","1,215","1,271","1,330","1,420","1,516","1,588","1,619","1,657","1,737","1,795","1,736","1,838","1,877","1,917","1,937","2,005","2,093","2,203","2,247","2,348","2,586","2,400","2,790","2,986","3,259"
North West ,E07000127,West Lancashire,"1,446","1,494","1,514","1,555","1,646","1,753","1,857","1,881","1,923","2,021","2,082","2,066","2,166","2,226","2,240","2,272","2,426","2,476","2,716","2,859","2,944","3,085","2,973","3,311","3,670","4,068"
North West ,E06000007,Warrington,"4,023","4,111","4,312","4,720","4,928","5,103","5,283","5,609","5,868","6,189","6,132","5,834","6,001","6,173","6,356","6,695","7,093","7,469","7,846","8,432","8,502","9,078","8,949","9,445","10,365","11,474"
North West ,E06000049,Cheshire East,"6,597","6,922","7,194","8,284","8,549","8,312","9,233","9,797","10,489","10,736","10,657","10,338","10,795","11,386","11,970","12,287","13,044","13,589","14,781","14,751","15,186","15,708","15,139","15,357","17,194","18,593"
North West ,E06000050,Cheshire West and Chester,"5,492","5,912","5,879","6,399","6,539","7,002","7,237","7,542","8,079","8,642","8,739","9,001","9,514","9,488","9,659","10,028","10,561","10,365","10,869","11,705","11,935","12,657","11,784","13,134","14,414","15,734"
North West ,E06000006,Halton,"2,393","2,507","2,621","2,679","2,780","3,010","3,052","3,204","3,476","3,375","3,608","3,656","3,782","3,849","3,662","3,847","4,081","4,223","4,231","4,371","4,563","4,746","4,341","4,748","5,194","5,679"
North West ,E08000011,Knowsley,"1,892","1,922","1,937","2,063","2,131","2,272","2,360","2,358","2,488","2,585","2,690","2,626","2,842","2,943","3,046","3,314","3,473","3,603","3,847","4,093","4,025","4,236","3,996","4,505","4,777","5,175"
North West ,E08000013,St. Helens,"1,848","2,005","2,093","2,197","2,320","2,436","2,544","2,618","2,789","2,880","2,892","2,832","2,980","2,982","2,893","2,970","3,097","3,151","3,209","3,239","3,319","3,409","3,146","3,562","3,691","3,841"
North West ,E08000012,Liverpool,"6,561","6,925","7,328","7,776","8,232","9,034","9,634","10,155","11,051","11,054","11,596","12,045","12,301","12,488","12,259","12,511","13,118","13,458","13,706","14,286","14,582","15,723","15,080","16,978","18,745","20,347"
North West ,E08000014,Sefton,"2,496","2,670","2,753","2,920","3,110","3,306","3,479","3,571","3,775","3,831","3,957","3,967","4,116","4,082","4,065","4,174","4,333","4,461","4,633","4,821","4,967","5,059","4,935","5,639","5,999","6,376"
North West ,E08000015,Wirral,"3,001","3,215","3,312","3,492","3,692","3,958","4,216","4,289","4,525","4,598","4,741","4,729","4,879","4,975","5,014","5,164","5,367","5,607","5,573","5,815","5,946","6,274","6,112","6,515","7,125","7,778"
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","3,415","3,517","3,725","3,897","4,159","4,466","4,606","4,813","5,250","5,497","6,018","5,973","5,758","5,619","5,704","5,757","5,832","6,124","6,341","6,592","6,803","6,918","6,200","7,232","7,621","8,300"
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"4,174","4,187","4,367","4,584","4,945","5,266","5,642","5,860","6,179","6,278","6,353","6,041","5,956","6,052","6,216","6,441","6,762","7,052","7,211","7,512","7,982","8,325","7,962","9,201","9,819","10,564"
Yorkshire and The Humber,E06000012,North East Lincolnshire,"1,989","2,052","2,132","2,221","2,302","2,421","2,518","2,622","2,748","2,928","2,973","2,922","2,895","3,027","3,055","3,182","3,384","3,535","3,545","3,644","3,642","3,809","3,833","4,370","4,518","4,870"
Yorkshire and The Humber,E06000013,North Lincolnshire,"2,535","2,495","2,599","2,705","2,782","3,126","3,365","3,536","3,481","3,933","4,210","3,815","4,084","3,823","3,839","3,967","4,039","4,453","4,605","4,957","4,885","5,682","4,978","6,324","6,407","6,124"
